EVTYPE,NWS.Event.Type
FLOOD,FLOOD
HURRICANE/TYPHOON,HURRICANE (TYPHOON)
TORNADO,TORNADO
STORM SURGE,STORM SURGE/TIDE
HAIL,HAIL
FLASH FLOOD,FLASH FLOOD
DROUGHT,DROUGHT
HURRICANE,HURRICANE (TYPHOON)
RIVER FLOOD,FLOOD
ICE STORM,ICE STORM
TROPICAL STORM,TROPICAL STORM
WINTER STORM,WINTER STORM
HIGH WIND,HIGH WIND
WILDFIRE,WILDFIRE
TSTM WIND,THUNDERSTORM WIND
STORM SURGE/TIDE,STORM SURGE/TIDE
THUNDERSTORM WIND,THUNDERSTORM WIND
HURRICANE OPAL,HURRICANE (TYPHOON)
WILD/FOREST FIRE,WILDFIRE
HEAVY RAIN/SEVERE WEATHER,HEAVY RAIN
THUNDERSTORM WINDS,THUNDERSTORM WIND
"TORNADOES, TSTM WIND, HAIL",TORNADO
HEAVY RAIN,HEAVY RAIN
EXTREME COLD,EXTREME COLD/WIND CHILL
SEVERE THUNDERSTORM,THUNDERSTORM WIND
FROST/FREEZE,FROST/FREEZE
HEAVY SNOW,HEAVY SNOW
LIGHTNING,LIGHTNING
BLIZZARD,BLIZZARD
HIGH WINDS,HIGH WIND
WILD FIRES,WILDFIRE
TYPHOON,HURRICANE (TYPHOON)
EXCESSIVE HEAT,EXCESSIVE HEAT
FREEZE,FROST/FREEZE
HEAT,HEAT
HURRICANE ERIN,HURRICANE (TYPHOON)
LANDSLIDE,DEBRIS FLOW
FLASH FLOODING,FLASH FLOOD
FLASH FLOOD/FLOOD,FLASH FLOOD
DAMAGING FREEZE,FROST/FREEZE
FLOOD/FLASH FLOOD,FLASH FLOOD
HAILSTORM,HAIL
STRONG WIND,STRONG WIND
COASTAL FLOOD,COASTAL FLOOD
TSUNAMI,TSUNAMI
EXCESSIVE WETNESS,HEAVY RAIN
River Flooding,FLOOD
COASTAL FLOODING,COASTAL FLOOD
FLOODING,FLOOD
HIGH WINDS/COLD,HIGH WIND
FLOOD/RAIN/WINDS,FLOOD
HURRICANE OPAL/HIGH WINDS,HURRICANE (TYPHOON)
TSTM WIND/HAIL,THUNDERSTORM WIND
MAJOR FLOOD,FLOOD
WILDFIRES,WILDFIRE
HIGH SURF,HIGH SURF
HEAVY RAINS,HEAVY RAIN
URBAN/SML STREAM FLD,FLOOD
FROST,FROST/FREEZE
COLD AND WET CONDITIONS,COLD/WIND CHILL
WINTER STORM HIGH WINDS,WINTER STORM
RECORD COLD,EXTREME COLD/WIND CHILL
WATERSPOUT/TORNADO,WATERSPOUT
HURRICANE EMILY,HURRICANE (TYPHOON)
Early Frost,FROST/FREEZE
LAKE-EFFECT SNOW,LAKE-EFFECT SNOW
WINTER WEATHER,WINTER WEATHER
Damaging Freeze,FROST/FREEZE
SEVERE THUNDERSTORM WINDS,THUNDERSTORM WIND
AGRICULTURAL FREEZE,FROST/FREEZE
UNSEASONABLY COLD,COLD/WIND CHILL
Coastal Flood,COASTAL FLOOD
SMALL HAIL,HAIL
TROPICAL STORM JERRY,TROPICAL STORM
COASTAL FLOODING/EROSION,COASTAL FLOOD
Extreme Cold,EXTREME COLD/WIND CHILL
URBAN FLOOD,FLOOD
SEVERE THUNDERSTORMS,THUNDERSTORM WIND
EXTREME WINDCHILL,EXTREME COLD/WIND CHILL
Erosion/Cstl Flood,COASTAL FLOOD
HEAT WAVE,EXCESSIVE HEAT
COASTAL  FLOODING/EROSION,COASTAL FLOOD
Heavy Rain/High Surf,HEAVY RAIN
SNOW,HEAVY SNOW
FOG,DENSE FOG
HARD FREEZE,FROST/FREEZE
ICE,ICE STORM
ICE JAM FLOODING,ICE STORM
Freeze,FROST/FREEZE
RIVER FLOODING,FLOOD
FLOOD & HEAVY RAIN,FLOOD
UNSEASONAL RAIN,HEAVY RAIN
HEAVY SURF/HIGH SURF,HIGH SURF
DENSE FOG,DENSE FOG
ASTRONOMICAL HIGH TIDE,STORM SURGE/TIDE
WATERSPOUT,WATERSPOUT
WIND,STRONG WIND
FLASH FLOODS,FLASH FLOOD
EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL
DUST STORM,DUST STORM
FREEZING RAIN,HEAVY RAIN
 TSTM WIND,THUNDERSTORM WIND
LAKESHORE FLOOD,LAKESHORE FLOOD
HIGH WINDS HEAVY RAINS,HIGH WIND
STRONG WINDS,STRONG WIND
DRY MICROBURST,THUNDERSTORM WIND
WINTER WEATHER/MIX,WINTER WEATHER
Coastal Flooding,COASTAL FLOOD
RAIN,HEAVY RAIN
FLOODS,FLOOD
URBAN FLOODING,FLOOD
FOREST FIRES,WILDFIRE
MARINE TSTM WIND,MARINE THUNDERSTORM WIND
HEAVY RAINS/FLOODING,HEAVY RAIN
EXTREME HEAT,EXCESSIVE HEAT
Unseasonable Cold,COLD/WIND CHILL
SNOWMELT FLOODING,FLOOD
COOL AND WET,COLD/WIND CHILL
HEAVY RAIN/LIGHTNING,HEAVY RAIN
HEAVY SNOW/BLIZZARD/AVALANCHE,HEAVY SNOW
HEAVY SNOW/FREEZING RAIN,HEAVY SNOW
HEAVY SNOWPACK,HEAVY SNOW
HIGH WINDS/COASTAL FLOOD,COASTAL FLOOD
ICE AND SNOW,ICE STORM
LIGHTNING FIRE,LIGHTNING
TROPICAL STORM ALBERTO,TROPICAL STORM
AVALANCHE,AVALANCHE
ICE/STRONG WINDS,ICE STORM
COLD/WIND CHILL,COLD/WIND CHILL
TORNADO F1,TORNADO
FREEZING FOG,FREEZING FOG
EXCESSIVE SNOW,HEAVY SNOW
FLASH FLOODING/FLOOD,FLASH FLOOD
THUNDERSTORM,THUNDERSTORM WIND
LIGHT SNOW,HEAVY SNOW
THUNDERSTORM WINDSS,THUNDERSTORM WIND
TROPICAL DEPRESSION,TROPICAL DEPRESSION
HEAVY SNOW AND STRONG WINDS,HEAVY SNOW
TORNADO F2,TORNADO
HEAVY SNOW/HIGH WINDS & FLOOD,HEAVY SNOW
HEAVY SURF,HIGH SURF
SNOW/SLEET,HEAVY SNOW
HEAVY MIX,HEAVY SNOW
SNOW FREEZING RAIN,SLEET
MARINE HIGH WIND,MARINE HIGH WIND
MUDSLIDE,DEBRIS FLOW
RIVER AND STREAM FLOOD,FLOOD
SNOW/FREEZING RAIN,WINTER WEATHER
WINDS,HIGH WIND
Frost/Freeze,FROST/FREEZE
HIGH WIND DAMAGE,HIGH WIND
OTHER,FLOOD
DAM BREAK,FLOOD
FLOOD/FLASH,FLASH FLOOD
HURRICANE FELIX,HURRICANE (TYPHOON)
RECORD SNOW,HEAVY SNOW
SNOW/COLD,HEAVY SNOW
TROPICAL STORM GORDON,TROPICAL STORM
WIND AND WAVE,MARINE HIGH WIND
WINTER STORMS,WINTER STORM
SEICHE,SEICHE
Gusty Winds,HIGH WIND
GLAZE,ICE STORM
COASTAL EROSION,COASTAL FLOOD
THUNDERSTORM WINDS HAIL,THUNDERSTORM WIND
TORNADO F3,TORNADO
DUST DEVIL,DUST DEVIL
HEAVY SNOW SQUALLS,HEAVY SNOW
SNOW SQUALL,HEAVY SNOW
SNOW SQUALLS,HEAVY SNOW
HEAVY SNOW/ICE,HEAVY SNOW
THUNDERTORM WINDS,THUNDERSTORM WIND
MUD SLIDE,DEBRIS FLOW
HEAVY RAIN AND FLOOD,HEAVY RAIN
Light Snow,HEAVY SNOW
Landslump,DEBRIS FLOW
MIXED PRECIPITATION,HEAVY RAIN
HAIL/WINDS,HAIL
DUST STORM/HIGH WINDS,DUST STORM
GUSTY WINDS,HIGH WIND
THUNDERSTORMS WINDS,THUNDERSTORM WIND
HIGH WATER,HEAVY RAIN
BLIZZARD/WINTER STORM,BLIZZARD
COASTAL SURGE,STORM SURGE/TIDE
COLD,COLD/WIND CHILL
FLASH FLOOD/,FLASH FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLASH FLOOD
FLOOD/RIVER FLOOD,FLOOD
FROST\FREEZE,FROST/FREEZE
HEAVY LAKE SNOW,LAKE-EFFECT SNOW
HEAVY PRECIPITATION,HEAVY RAIN
HEAVY RAIN/SNOW,HEAVY RAIN
HEAVY SNOW/WINTER STORM,HEAVY SNOW
HIGH WIND/SEAS,HIGH WIND
HURRICANE GORDON,HURRICANE (TYPHOON)
SLEET/ICE STORM,ICE STORM
SNOW AND ICE STORM,ICE STORM
SNOW/HEAVY SNOW,HEAVY SNOW
VOLCANIC ASH,VOLCANIC ASH
MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND
LIGHT FREEZING RAIN,WINTER WEATHER
MICROBURST WINDS,STRONG WIND
TROPICAL STORM DEAN,TROPICAL STORM
MARINE STRONG WIND,MARINE STRONG WIND
THUNDERSTORM WINDS/HAIL,THUNDERSTORM WIND
High Surf,HIGH SURF
GUSTY WIND,STRONG WIND
ICY ROADS,ICE STORM
ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE
GLAZE ICE,ICE STORM
WIND STORM,HIGH WIND
FLASH FLOOD FROM ICE JAMS,FLASH FLOOD
HEAT WAVE DROUGHT,DROUGHT
Mixed Precipitation,HEAVY RAIN
HAIL 275,HAIL
TSTM WIND (G45),THUNDERSTORM WIND
WATERSPOUT-,WATERSPOUT
HIGH SURF ADVISORY,HIGH SURF
HAIL 450,HAIL
STORM FORCE WINDS,THUNDERSTORM WIND
THUNDERSTORM WINDS LIGHTNING,THUNDERSTORM WIND
FUNNEL CLOUD,FUNNEL CLOUD
LATE SEASON SNOW,HEAVY SNOW
RIP CURRENTS,RIP CURRENT
HAIL DAMAGE,HAIL
HIGH WINDS/SNOW,HIGH WIND
ROCK SLIDE,DEBRIS FLOW
WIND DAMAGE,STRONG WIND
THUNDERSTORMW,THUNDERSTORM WIND
HAIL 175,HAIL
LANDSLIDES,DEBRIS FLOW
GUSTNADO,TORNADO
Beach Erosion,COASTAL FLOOD
DENSE SMOKE,DENSE SMOKE
Extended Cold,COLD/WIND CHILL
GROUND BLIZZARD,BLIZZARD
HEAVY SNOW/SQUALLS,HEAVY SNOW
ICE FLOES,ICE STORM
SNOW AND HEAVY SNOW,HEAVY SNOW
SNOW/HIGH WINDS,BLIZZARD
SNOW/ICE STORM,ICE STORM
SNOW/SLEET/FREEZING RAIN,SLEET
Strong Winds,STRONG WIND
TSTM WIND G58,THUNDERSTORM WIND
Glaze,ICE STORM
HEAVY SNOW-SQUALLS,HEAVY SNOW
Light Snowfall,HEAVY SNOW
TORNADO F0,TORNADO
TSTM WIND AND LIGHTNING,THUNDERSTORM WIND
FREEZING DRIZZLE,WINTER STORM
FREEZING RAIN/SNOW,WINTER STORM
HURRICANE-GENERATED SWELLS,HURRICANE (TYPHOON)
TUNDERSTORM WIND,THUNDERSTORM WIND
THUNDERSTORM WIND 60 MPH,THUNDERSTORM WIND
Snow,HEAVY SNOW
MICROBURST,THUNDERSTORM WIND
WINTER WEATHER MIX,WINTER STORM
TSTM WINDS,THUNDERSTORM WIND
BRUSH FIRE,WILDFIRE
Freezing Drizzle,WINTER STORM
Snow Squalls,HEAVY SNOW
THUDERSTORM WINDS,THUNDERSTORM WIND
THUNDERSTORM HAIL,THUNDERSTORM WIND
Cold,COLD/WIND CHILL
URBAN/SMALL STREAM FLOOD,FLOOD
 FLASH FLOOD,FLASH FLOOD
Coastal Storm,STORM SURGE/TIDE
EXTREME WIND CHILL,EXTREME COLD/WIND CHILL
FLASH FLOOD LANDSLIDES,FLASH FLOOD
FREEZING RAIN/SLEET,SLEET
HAIL 150,HAIL
HEAVY SNOW/BLIZZARD,BLIZZARD
HEAVY SNOW/WIND,HEAVY SNOW
Heavy Surf,HIGH SURF
HEAVY SURF COASTAL FLOODING,HIGH SURF
HIGH WIND AND SEAS,MARINE STRONG WIND
HIGH WIND/BLIZZARD,BLIZZARD
HIGH WIND/HEAVY SNOW,HEAVY SNOW
HIGH WINDS/,HIGH WIND
Lake Effect Snow,LAKE-EFFECT SNOW
Marine Accident,MARINE HIGH WIND
MUD SLIDES,DEBRIS FLOW
MUDSLIDES,DEBRIS FLOW
Other,THUNDERSTORM WIND
RAINSTORM,HEAVY RAIN
SEVERE TURBULENCE,STRONG WIND
SNOW/ BITTER COLD,EXTREME COLD/WIND CHILL
SNOW/BLOWING SNOW,BLIZZARD
THUNDERSNOW,THUNDERSTORM WIND
THUNDERSTORM WINDS 13,THUNDERSTORM WIND
THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS53,THUNDERSTORM WIND
TSTMW,THUNDERSTORM WIND
TSTM WIND (G40),THUNDERSTORM WIND
NON-TSTM WIND,HIGH WIND
THUNDERSTORM WINDSHAIL,THUNDERSTORM WIND
WATERSPOUT TORNADO,WATERSPOUT
Freezing Rain,WINTER STORM
WET MICROBURST,THUNDERSTORM WIND
WILD/FOREST FIRES,WILDFIRE
LAKE FLOOD,FLOOD
LIGHTNING  WAUSEON,LIGHTNING
SNOW/ICE,HEAVY SNOW
Tstm Wind,THUNDERSTORM WIND
TSTM WIND (G35),THUNDERSTORM WIND
TSTM WIND 55,THUNDERSTORM WIND
LIGHTNING AND HEAVY RAIN,LIGHTNING
THUNDERSTORM  WINDS,THUNDERSTORM WIND
THUNDERSTORM WIND 98 MPH,THUNDERSTORM WIND
THUNDERSTORM WINDS 63 MPH,THUNDERSTORM WIND
THUNDERSTORMS WIND,THUNDERSTORM WIND
BLOWING DUST,DUST STORM
GUSTY WIND/HAIL,HIGH WIND
Microburst,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREES,THUNDERSTORM WIND
TSTM WIND 65),THUNDERSTORM WIND
Dust Devil,DUST DEVIL
HIGH WIND (G40),HIGH WIND
Strong Wind,STRONG WIND
gradient wind,HIGH WIND
LAKE EFFECT SNOW,LAKE-EFFECT SNOW
HIGH SEAS,MARINE STRONG WIND
blowing snow,HEAVY SNOW
Freezing drizzle,WINTER STORM
HAIL 100,HAIL
HEAVY SWELLS,FLOOD
WATERSPOUT-TORNADO,WATERSPOUT
Gradient wind,HIGH WIND
FLASH FLOOD - HEAVY RAIN,FLASH FLOOD
ICE ROADS,ICE STORM
FLOOD/FLASH/FLOOD,FLOOD
GRASS FIRES,WILDFIRE
HAIL 075,HAIL
HAIL 125,HAIL
HAIL 200,HAIL
Heavy snow shower,HEAVY SNOW
HIGH WIND 48,HIGH WIND
LIGHTNING THUNDERSTORM WINDS,LIGHTNING
ROUGH SURF,HIGH SURF
THUNDERSTORM WIND G60,THUNDERSTORM WIND
THUNDERSTORM WINDS G60,THUNDERSTORM WIND
THUNDERSTORMS,THUNDERSTORM WIND
Tidal Flooding,STORM SURGE/TIDE
TSTM WIND 45,THUNDERSTORM WIND
UNSEASONABLY WARM,HEAT
Wind,HIGH WIND
Wind Damage,HIGH WIND
WINTRY MIX,WINTER STORM
 TSTM WIND (G45),THUNDERSTORM WIND
TSTM WIND (41),THUNDERSTORM WIND
LANDSPOUT,WATERSPOUT
WHIRLWIND,TORNADO
GRADIENT WIND,HIGH WIND
DROUGHT/EXCESSIVE HEAT,DROUGHT
?,FLOOD
APACHE COUNTY,FLOOD
FLOOD FLASH,FLOOD
FLOOD/FLASHFLOOD,FLOOD
HEAVY RAIN/SMALL STREAM URBAN,HEAVY RAIN
HIGH SWELLS,FLOOD
HIGH WINDS/HEAVY RAIN,HIGH WIND
ICE JAM,ICE STORM
Light snow,HEAVY SNOW
LIGHTING,LIGHTNING
LIGHTNING/HEAVY RAIN,LIGHTNING
LIGNTNING,LIGHTNING
MINOR FLOODING,FLOOD
MUD SLIDES URBAN FLOODING,DEBRIS FLOW
NON-SEVERE WIND DAMAGE,HIGH WIND
SMALL STREAM FLOOD,FLOOD
SNOW ACCUMULATION,HEAVY SNOW
SNOW/ ICE,ICE STORM
THUNDEERSTORM WINDS,THUNDERSTORM WIND
THUNDERSTORM WIND G55,THUNDERSTORM WIND
THUNDERSTORM WIND/LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDS AND,THUNDERSTORM WIND
THUNDERSTORM WINDS.,THUNDERSTORM WIND
THUNDERSTORM WINDS/FLOODING,THUNDERSTORM WIND
THUNDERSTORM WINDS/FUNNEL CLOU,THUNDERSTORM WIND
THUNDERSTROM WIND,THUNDERSTORM WIND
TSTM WIND  (G45),THUNDERSTORM WIND
TSTM WIND DAMAGE,THUNDERSTORM WIND
URBAN AND SMALL,FLOOD
URBAN/SMALL STREAM,FLOOD
Whirlwind,HIGH WIND
MARINE HAIL,MARINE HAIL
THUNDERSTORM WIND 65 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65MPH,THUNDERSTORM WIND
THUNDERSTORM WIND TREES,THUNDERSTORM WIND
HIGH  WINDS,HIGH WIND
HVY RAIN,HEAVY RAIN
THUNDERSTORM WIND.,THUNDERSTORM WIND
TIDAL FLOODING,COASTAL FLOOD
Wintry Mix,WINTER STORM
DOWNBURST,THUNDERSTORM WIND
FLASH FLOOD/ STREET,FLASH FLOOD
GUSTY WIND/HVY RAIN,STRONG WIND
Gusty wind/rain,STRONG WIND
THUNDERSTORM DAMAGE TO,THUNDERSTORM WIND
THUNDERSTORM WIND/AWNING,THUNDERSTORM WIND
URBAN FLOODS,FLOOD
RURAL FLOOD,FLOOD
FLASH FLOOD/LANDSLIDE,FLASH FLOOD
HAIL 0.75,HAIL
HAIL 75,HAIL
Ice jam flood (minor,FLOOD
RIP CURRENT,RIP CURRENT
THUNDERESTORM WINDS,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREE,THUNDERSTORM WIND
THUNDERSTORM WINS,THUNDERSTORM WIND
THUNERSTORM WINDS,THUNDERSTORM WIND
TORNADOES,TORNADO
TSTM WIND 40,THUNDERSTORM WIND
TSTM WIND G45,THUNDERSTORM WIND
WATERSPOUT/ TORNADO,WATERSPOUT
HAIL/WIND,HAIL
DUST DEVIL WATERSPOUT,DUST DEVIL
HEAVY SHOWER,HEAVY RAIN
RECORD RAINFALL,HEAVY RAIN
THUNDERSTORM WIND/HAIL,THUNDERSTORM WIND
THUNDERSTORMWINDS,THUNDERSTORM WIND
TORNDAO,TORNADO
WIND/HAIL,HAIL
THUNDERSTORM WIND G50,THUNDERSTORM WIND
HIGH TIDES,STORM SURGE/TIDE
COLD AIR TORNADO,TORNADO
SNOW AND ICE,HEAVY SNOW
URBAN SMALL,FLOOD
BREAKUP FLOODING,FLOOD
FLOODING/HEAVY RAIN,FLOOD
FLASH FLOOD WINDS,FLASH FLOOD
BLACK ICE,SLEET
BLOWING SNOW,BLIZZARD
COASTAL STORM,TROPICAL STORM
COASTALSTORM,TROPICAL STORM
COLD AND SNOW,COLD/WIND CHILL
Cold Temperature,COLD/WIND CHILL
COLD WAVE,COLD/WIND CHILL
COLD WEATHER,COLD/WIND CHILL
COLD/WINDS,COLD/WIND CHILL
DROWNING,FLOOD
DRY MIRCOBURST WINDS,EXCESSIVE HEAT
EXCESSIVE RAINFALL,HEAVY RAIN
FALLING SNOW/ICE,ICE STORM
FOG AND COLD TEMPERATURES,FREEZING FOG
Freezing Spray,WINTER STORM
GLAZE/ICE STORM,ICE STORM
HAZARDOUS SURF,HIGH SURF
Heat Wave,EXCESSIVE HEAT
HEAVY SEAS,MARINE HIGH WIND
HEAVY SNOW AND HIGH WINDS,HEAVY SNOW
Heavy surf and wind,HIGH SURF
HIGH,HIGH WIND
Hurricane Edouard,HURRICANE (TYPHOON)
HYPERTHERMIA/EXPOSURE,EXTREME COLD/WIND CHILL
HYPOTHERMIA,EXTREME COLD/WIND CHILL
Hypothermia/Exposure,EXTREME COLD/WIND CHILL
HYPOTHERMIA/EXPOSURE,EXTREME COLD/WIND CHILL
ICE ON ROAD,ICE STORM
ICE STORM/FLASH FLOOD,ICE STORM
LIGHTNING AND THUNDERSTORM WIN,LIGHTNING
LIGHTNING INJURY,LIGHTNING
LOW TEMPERATURE,COLD/WIND CHILL
MARINE MISHAP,MARINE THUNDERSTORM WIND
MIXED PRECIP,FROST/FREEZE
Mudslide,DEBRIS FLOW
Mudslides,DEBRIS FLOW
RAIN/SNOW,HEAVY SNOW
RAPIDLY RISING WATER,FLOOD
RECORD HEAT,EXCESSIVE HEAT
RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT
RIP CURRENTS/HEAVY SURF,RIP CURRENT
ROGUE WAVE,RIP CURRENT
ROUGH SEAS,MARINE STRONG WIND
SLEET,SLEET
THUNDERSTORM WIND (G40),THUNDERSTORM WIND
Torrential Rainfall,HEAVY RAIN
UNSEASONABLY WARM AND DRY,EXCESSIVE HEAT
URBAN AND SMALL STREAM FLOODIN,FLOOD
WARM WEATHER,EXCESSIVE HEAT
